04,14,53,59,68,02
02,17,29,34,64,23
05,21,24,37,60,06
12,14,28,31,51,19
03,07,14,61,70,10
08,09,50,54,66,13
05,17,46,48,62,23
01,06,07,10,37,07
33,39,49,57,60,05
04,16,42,50,58,19
28,45,52,57,65,12
18,44,46,55,64,05
07,12,24,37,70,02
18,36,54,63,67,06
06,10,19,21,30,22
44,49,50,60,69,20
03,07,26,37,39,20
40,42,50,51,56,05
09,20,66,67,68,13
10,11,33,48,54,11
02,05,16,32,69,22
08,13,19,53,67,01
16,26,27,53,69,05
03,21,28,54,65,11
02,23,32,40,52,16
03,06,41,45,46,09
15,19,20,22,30,13
01,23,45,65,70,25
17,18,24,68,69,11
06,30,50,54,66,02
06,29,32,51,53,22
17,23,26,28,33,08
09,28,30,38,40,01
09,21,28,68,70,19
04,19,34,38,46,14
23,63,65,68,69,13
15,17,34,42,61,06
18,34,40,49,61,05
31,36,44,50,66,08
01,10,18,20,63,23
04,50,52,58,70,03
11,24,28,42,51,20
03,11,20,33,47,15
06,08,12,46,70,01
16,33,44,45,66,20
40,52,58,66,70,02
04,09,16,42,65,03
25,31,55,63,64,05
06,31,39,53,68,18
05,43,50,63,68,23
15,30,49,57,60,07
06,29,43,56,69,14
11,22,24,33,70,22
24,25,33,36,54,20
01,03,30,42,69,09
01,18,25,41,64,07
06,07,24,32,68,18
05,21,38,63,64,14
08,10,64,65,70,15
19,22,24,48,58,04
19,31,52,67,70,14
28,52,53,63,66,09
02,08,14,19,35,18
34,46,59,60,67,14
08,19,37,45,57,25
02,04,43,55,59,02
40,45,54,67,68,10
02,13,27,53,56,19
08,09,10,57,70,13
10,16,39,48,51,08
29,33,42,43,61,24
15,21,39,48,60,10
05,22,50,62,68,24
03,11,15,25,51,04
09,19,21,46,58,22
01,12,14,29,60,23
16,20,49,59,64,01
09,35,47,55,66,12
09,53,59,66,69,15
16,20,28,48,61,06
04,29,44,56,57,25
05,12,16,31,39,16
07,34,45,55,65,16
07,22,24,34,55,16
19,22,46,49,65,20
12,17,33,36,42,23
10,14,15,19,54,02
08,16,20,62,64,11
32,37,62,64,70,01
12,19,28,34,50,12
06,09,19,66,69,18
04,24,37,54,57,23
15,16,28,33,39,05
01,37,48,50,55,12
11,15,25,28,59,25
19,28,46,47,54,11
13,16,47,49,60,11
10,18,41,45,67,10
01,10,21,42,66,19
05,08,37,62,69,12
24,41,45,53,64,07
16,23,24,35,61,23
01,11,30,50,60,11
06,11,13,21,68,24
07,09,25,27,33,19
03,10,11,60,69,11
01,03,56,64,66,20
01,17,34,54,60,21
12,23,30,35,58,13
27,48,54,58,69,20
02,14,16,25,69,14
10,31,56,58,66,01
10,44,58,68,69,10
13,24,42,47,70,07
25,34,42,43,68,09
10,24,30,40,67,21
05,10,11,33,43,02
01,15,29,60,64,06
24,31,42,46,68,06
16,33,46,52,55,16
17,31,32,44,48,18
06,19,56,64,65,10
21,32,56,58,66,14
06,22,35,57,60,01
05,09,42,44,70,15
36,50,54,56,58,20
15,28,33,52,67,15
14,20,21,61,67,10
38,44,52,62,64,25
11,17,36,52,68,23
45,47,63,66,67,05
11,17,18,66,67,23
05,34,42,60,67,02
14,21,26,34,64,12
07,08,34,42,48,04
12,16,27,40,56,09
02,11,12,55,66,21
13,23,36,41,47,02
16,17,49,54,57,04
08,10,35,43,53,20
35,49,64,67,68,13
31,34,41,55,61,05
15,29,34,52,63,11
01,18,26,31,47,04
05,12,33,35,46,13
06,08,47,55,63,17
03,23,26,44,53,03
11,13,30,38,52,05
30,32,42,59,67,07
05,50,51,60,69,04
04,24,39,43,66,24
14,32,48,53,63,17
02,22,37,39,53,12
16,37,47,48,63,06
08,12,40,49,63,14
23,42,48,55,68,09
24,44,60,63,66,17
15,16,19,23,44,23
08,17,36,52,59,11
02,17,43,44,54,17
